type,paperless_billing,payment_method,total_charges,contract_terminated,senior_citizen,partner,dependents,internet_service,online_security,online_backup,device_protection,tech_support
Month-to-month,Yes,Electronic check,368.1,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,256.6,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,68.5,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,791.75,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Mailed check,69.95,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,346.4,1,0,No,No,DSL,No,No,Yes,No
Month-to-month,Yes,Electronic check,773.65,1,0,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,No,Mailed check,1422.05,1,0,Yes,Yes,DSL,Yes,Yes,Yes,No
Month-to-month,Yes,Electronic check,2467.1,1,0,Yes,No,Fiber optic,Yes,Yes,No,No
One year,Yes,Mailed check,989.45,1,0,Yes,No,DSL,No,No,Yes,No
One year,Yes,Mailed check,4830.25,1,1,Yes,No,Fiber optic,Yes,No,Yes,Yes
Month-to-month,Yes,Mailed check,59.75,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,No,Bank transfer (automatic),94.55,1,1,No,No,DSL,Yes,No,Yes,No
Month-to-month,Yes,Credit card (automatic),6871.9,1,1,Yes,No,Fiber optic,No,No,No,Yes
One year,No,Electronic check,6529.25,1,0,No,No,Fiber optic,Yes,Yes,No,Yes
Month-to-month,No,Credit card (automatic),1454.15,1,0,Yes,No,Fiber optic,Yes,Yes,Yes,No
Two year,Yes,Credit card (automatic),1327.15,1,0,Yes,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Credit card (automatic),2404.15,1,0,No,No,Fiber optic,No,No,No,Yes
Month-to-month,Yes,Mailed check,114.7,1,0,No,No,DSL,No,Yes,No,No
One year,Yes,Credit card (automatic),6975.25,1,1,Yes,No,Fiber optic,No,No,Yes,Yes
Month-to-month,No,Electronic check,257.05,1,0,No,Yes,Fiber optic,No,No,Yes,No
Month-to-month,No,Electronic check,40.1,1,0,Yes,Yes,DSL,No,No,No,Yes
Month-to-month,Yes,Electronic check,2217.15,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,1129.1,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,2568.55,1,0,Yes,Yes,DSL,Yes,No,Yes,Yes
Month-to-month,Yes,Electronic check,3580.3,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Credit card (automatic),293.3,1,0,No,No,DSL,No,Yes,No,No
Month-to-month,Yes,Electronic check,2440.15,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Electronic check,79.55,1,0,No,No,Fiber optic,No,No,No,No
One year,No,Electronic check,2781.85,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,89.1,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,1607.2,1,0,Yes,Yes,Fiber optic,Yes,No,Yes,No
Month-to-month,Yes,Electronic check,1490.95,1,0,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,92.65,1,1,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,606.25,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,19.1,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,80.3,1,1,Yes,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,74.9,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,751.65,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,66.95,1,0,No,No,DSL,No,No,No,No
Two year,Yes,Electronic check,5293.4,1,0,Yes,Yes,DSL,Yes,No,Yes,No
Month-to-month,Yes,Credit card (automatic),4515.85,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,No,Bank transfer (automatic),165.0,1,0,Yes,No,Fiber optic,No,Yes,Yes,No
Two year,No,Bank transfer (automatic),3046.4,1,0,Yes,Yes,DSL,Yes,Yes,No,Yes
Month-to-month,Yes,Electronic check,1808.7,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,7446.9,1,0,Yes,Yes,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,25.1,1,1,No,No,DSL,No,No,No,No
Month-to-month,Yes,Credit card (automatic),1880.85,1,0,No,No,DSL,Yes,Yes,No,Yes
Month-to-month,Yes,Credit card (automatic),477.55,1,0,Yes,Yes,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,1496.9,1,1,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Mailed check,70.45,1,0,No,Yes,Fiber optic,No,No,No,No
One year,No,Credit card (automatic),3563.8,1,0,Yes,No,DSL,Yes,Yes,Yes,No
Month-to-month,No,Electronic check,24.75,1,0,No,Yes,DSL,No,No,No,No
Month-to-month,No,Electronic check,2012.7,1,0,Yes,Yes,Fiber optic,No,No,Yes,Yes
Month-to-month,Yes,Electronic check,242.05,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,63.75,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,260.9,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2967.35,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Credit card (automatic),939.7,1,0,No,No,DSL,No,Yes,No,Yes
Month-to-month,Yes,Electronic check,1037.75,1,0,Yes,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Mailed check,50.45,1,0,No,No,DSL,No,No,Yes,No
Month-to-month,Yes,Electronic check,3624.3,1,0,Yes,Yes,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Credit card (automatic),100.25,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,1422.1,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,69.85,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Bank transfer (automatic),858.6,1,0,No,No,Fiber optic,Yes,No,Yes,No
Month-to-month,Yes,Electronic check,324.3,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Credit card (automatic),399.6,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Bank transfer (automatic),3273.55,1,1,Yes,No,Fiber optic,Yes,No,Yes,No
Month-to-month,Yes,Mailed check,69.4,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,541.15,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Credit card (automatic),3229.4,1,1,Yes,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,70.1,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,909.25,1,0,No,Yes,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,5283.95,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1617.5,1,0,No,No,Fiber optic,Yes,Yes,No,No
Month-to-month,No,Electronic check,84.3,1,0,No,No,Fiber optic,No,Yes,No,No
Two year,No,Credit card (automatic),6440.25,1,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes
Month-to-month,Yes,Electronic check,1131.2,1,1,Yes,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,585.95,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,No,Bank transfer (automatic),19.95,1,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,2186.4,1,0,Yes,No,Fiber optic,Yes,Yes,Yes,No
Two year,Yes,Electronic check,3201.55,1,0,No,No,Fiber optic,No,No,Yes,Yes
Month-to-month,Yes,Bank transfer (automatic),661.25,1,0,Yes,Yes,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,1111.85,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,3046.15,1,0,Yes,Yes,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,69.35,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,272.2,1,0,No,No,Fiber optic,No,No,No,Yes
One year,Yes,Mailed check,3435.6,0,0,Yes,No,DSL,No,No,Yes,Yes
Month-to-month,No,Mailed check,50.55,1,1,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,80.55,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,916.9,1,0,Yes,Yes,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Mailed check,1855.65,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,116.65,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2287.25,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),830.7,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Mailed check,20.0,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Credit card (automatic),1054.6,1,0,No,No,DSL,Yes,No,No,No
Month-to-month,Yes,Electronic check,85.05,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2110.15,1,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes
Month-to-month,Yes,Mailed check,547.65,1,0,No,No,Fiber optic,No,No,Yes,Yes
One year,Yes,Bank transfer (automatic),8684.8,1,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes
Month-to-month,Yes,Electronic check,4370.25,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Bank transfer (automatic),251.75,1,0,Yes,No,Fiber optic,No,No,No,Yes
Month-to-month,Yes,Electronic check,740.3,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,452.7,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,No,Mailed check,19.45,1,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,166.3,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,70.0,1,0,Yes,Yes,Fiber optic,No,No,No,No
Two year,Yes,Bank transfer (automatic),4820.15,1,0,Yes,Yes,DSL,Yes,No,No,Yes
Month-to-month,Yes,Electronic check,3409.6,1,0,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,No,Electronic check,1270.2,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,No,Credit card (automatic),1561.5,1,0,Yes,Yes,DSL,No,No,No,Yes
Month-to-month,No,Mailed check,31.55,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,321.75,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Credit card (automatic),147.15,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2387.75,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Mailed check,2660.2,1,1,No,No,Fiber optic,Yes,Yes,No,No
One year,Yes,Electronic check,4211.55,1,0,No,No,Fiber optic,No,No,No,Yes
Month-to-month,Yes,Electronic check,990.9,1,0,Yes,No,Fiber optic,No,Yes,No,Yes
Month-to-month,Yes,Bank transfer (automatic),193.8,1,0,No,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,790.15,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Credit card (automatic),2467.75,1,1,No,No,Fiber optic,No,No,Yes,No
One year,Yes,Bank transfer (automatic),7262.0,1,0,No,No,Fiber optic,No,Yes,Yes,Yes
Month-to-month,Yes,Credit card (automatic),1914.9,1,0,Yes,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Bank transfer (automatic),5688.05,1,1,Yes,No,Fiber optic,No,No,Yes,No
Two year,Yes,Bank transfer (automatic),5265.1,1,1,Yes,No,DSL,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,1772.25,1,1,Yes,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Mailed check,44.45,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,3067.2,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,20.25,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,74.35,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Mailed check,62.05,1,0,No,No,DSL,No,No,Yes,Yes
One year,No,Credit card (automatic),3182.95,1,0,Yes,Yes,DSL,Yes,No,Yes,Yes
Month-to-month,No,Mailed check,541.9,1,0,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,No,Bank transfer (automatic),971.3,1,1,Yes,No,DSL,Yes,No,No,No
Month-to-month,Yes,Electronic check,162.45,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,216.9,1,0,No,No,DSL,No,No,No,Yes
Month-to-month,No,Credit card (automatic),245.2,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,No,Electronic check,302.75,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,60.1,1,0,No,No,DSL,No,Yes,No,Yes
Month-to-month,Yes,Electronic check,78.95,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,98.5,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,244.65,1,0,No,No,Fiber optic,No,No,No,No
One year,Yes,Mailed check,2375.4,1,0,No,No,DSL,No,Yes,Yes,No
Month-to-month,Yes,Credit card (automatic),2431.35,1,0,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,1451.9,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Mailed check,71.1,1,0,No,No,Fiber optic,No,No,No,No
One year,Yes,Electronic check,6979.8,1,1,Yes,No,Fiber optic,No,Yes,Yes,No
One year,No,Bank transfer (automatic),1021.8,1,0,Yes,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,94.0,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,1424.95,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Mailed check,193.6,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Mailed check,620.55,1,0,No,No,DSL,No,Yes,No,Yes
Month-to-month,Yes,Electronic check,1993.8,1,0,No,No,Fiber optic,No,No,No,Yes
One year,Yes,Bank transfer (automatic),2597.6,1,0,No,No,Fiber optic,No,No,No,No
Two year,No,Bank transfer (automatic),1052.35,1,0,No,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,53.95,1,0,No,No,DSL,Yes,No,No,Yes
Month-to-month,Yes,Electronic check,829.55,1,1,No,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,1312.15,1,0,No,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,69.8,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,545.15,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,494.05,1,1,No,No,DSL,Yes,No,No,No
Month-to-month,Yes,Electronic check,2841.55,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,486.85,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,204.7,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2995.45,1,0,Yes,Yes,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,137.95,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,3762.0,1,0,Yes,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Credit card (automatic),3233.6,1,0,No,No,Fiber optic,Yes,Yes,Yes,No
Month-to-month,No,Electronic check,5438.9,1,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes
Month-to-month,Yes,Electronic check,1081.45,1,0,No,No,Fiber optic,Yes,Yes,Yes,No
Month-to-month,Yes,Electronic check,221.9,1,1,No,No,DSL,No,No,Yes,No
Month-to-month,No,Mailed check,74.9,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Electronic check,58.9,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Bank transfer (automatic),333.55,1,0,No,Yes,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,3171.15,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,74.7,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,455.5,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,3152.5,1,1,No,No,Fiber optic,No,Yes,Yes,No
One year,No,Bank transfer (automatic),2530.4,1,0,No,No,DSL,Yes,Yes,Yes,Yes
Month-to-month,Yes,Electronic check,3186.7,1,1,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,35.75,1,0,No,No,DSL,No,No,No,No
Month-to-month,No,Electronic check,181.6,1,1,Yes,Yes,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,1539.45,1,0,Yes,Yes,Fiber optic,Yes,No,Yes,No
Month-to-month,Yes,Mailed check,58.15,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,225.6,1,0,Yes,Yes,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,340.85,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2515.3,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Mailed check,305.95,1,0,No,No,DSL,No,Yes,No,No
Month-to-month,Yes,Electronic check,365.4,1,0,Yes,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,90.85,1,0,No,Yes,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,69.4,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Credit card (automatic),742.95,1,1,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Credit card (automatic),20.15,1,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,4816.7,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),1834.95,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,305.1,1,0,No,No,DSL,No,No,Yes,No
Month-to-month,Yes,Electronic check,155.65,1,0,No,No,DSL,No,No,No,Yes
Month-to-month,Yes,Mailed check,108.7,1,0,No,No,DSL,No,Yes,No,Yes
Month-to-month,Yes,Electronic check,44.1,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,712.75,1,0,No,No,DSL,No,No,Yes,No
One year,Yes,Credit card (automatic),6405.0,1,1,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,1637.4,1,1,Yes,No,DSL,No,Yes,No,No
One year,Yes,Electronic check,6145.85,1,0,No,No,Fiber optic,Yes,Yes,Yes,No
Month-to-month,Yes,Electronic check,1740.7,1,0,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Bank transfer (automatic),552.95,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,93.7,1,1,No,No,DSL,No,No,No,No
Month-to-month,Yes,Credit card (automatic),1046.5,1,0,No,No,DSL,No,No,Yes,Yes
Month-to-month,Yes,Electronic check,834.2,1,0,Yes,Yes,Fiber optic,No,No,No,No
One year,Yes,Credit card (automatic),4134.85,1,0,Yes,No,Fiber optic,Yes,No,Yes,Yes
Month-to-month,Yes,Mailed check,899.8,1,0,No,No,DSL,Yes,No,No,No
Month-to-month,No,Credit card (automatic),108.05,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Electronic check,70.3,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,851.75,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,No,Mailed check,575.45,1,0,No,Yes,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Credit card (automatic),1375.15,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,152.7,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,195.05,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,1660.0,1,1,No,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Bank transfer (automatic),20.2,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Two year,Yes,Credit card (automatic),6981.35,1,0,Yes,No,Fiber optic,Yes,No,Yes,No
Month-to-month,Yes,Electronic check,3615.6,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Electronic check,2184.35,1,0,Yes,No,DSL,Yes,No,Yes,No
Month-to-month,Yes,Electronic check,1852.85,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Credit card (automatic),77.15,1,0,No,No,DSL,No,Yes,Yes,Yes
Month-to-month,No,Electronic check,338.1,1,0,No,No,Fiber optic,No,No,No,No
One year,Yes,Electronic check,3030.6,1,0,No,Yes,Fiber optic,No,No,Yes,No
One year,Yes,Electronic check,3124.5,1,0,Yes,Yes,Fiber optic,No,No,Yes,No
One year,Yes,Electronic check,930.45,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Credit card (automatic),673.1,1,1,Yes,No,Fiber optic,Yes,Yes,No,No
Month-to-month,Yes,Credit card (automatic),208.7,1,0,No,No,DSL,No,Yes,No,No
Month-to-month,Yes,Electronic check,237.75,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,No,Credit card (automatic),221.35,1,0,No,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,No,Electronic check,75.3,1,0,No,No,Fiber optic,No,No,Yes,No
One year,Yes,Credit card (automatic),4062.2,1,1,Yes,No,Fiber optic,No,Yes,No,Yes
Month-to-month,No,Mailed check,4042.3,1,1,No,No,Fiber optic,Yes,No,No,No
Month-to-month,No,Mailed check,164.85,1,0,No,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,No,Electronic check,70.4,1,0,No,No,Fiber optic,No,No,No,No
One year,Yes,Electronic check,331.3,1,0,Yes,Yes,DSL,Yes,No,No,No
Month-to-month,Yes,Credit card (automatic),1147.45,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,1078.9,1,0,Yes,No,Fiber optic,No,No,No,No
One year,Yes,Bank transfer (automatic),7804.15,1,0,No,No,Fiber optic,Yes,Yes,Yes,Yes
Month-to-month,Yes,Electronic check,226.45,1,0,No,No,DSL,Yes,No,No,No
Month-to-month,Yes,Electronic check,4364.1,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2433.9,1,1,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,1217.25,1,1,No,No,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,1743.5,1,0,Yes,Yes,Fiber optic,Yes,No,Yes,No
Month-to-month,Yes,Electronic check,69.65,1,1,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,713.1,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,526.7,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,3021.6,1,1,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,191.35,1,0,No,No,DSL,No,No,No,Yes
Month-to-month,Yes,Mailed check,2718.3,1,1,Yes,Yes,Fiber optic,No,Yes,No,No
Month-to-month,Yes,Electronic check,36.45,1,1,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,2001.5,1,0,No,Yes,Fiber optic,No,Yes,Yes,No
Month-to-month,No,Electronic check,3825.85,1,1,Yes,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Credit card (automatic),933.3,1,1,Yes,No,DSL,No,No,Yes,No
One year,Yes,Electronic check,3184.25,1,0,Yes,No,DSL,No,Yes,Yes,Yes
Month-to-month,Yes,Electronic check,764.95,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),145.4,1,0,Yes,Yes,Fiber optic,No,Yes,No,No
Month-to-month,No,Bank transfer (automatic),156.25,1,0,Yes,No,No Internet,No Internet,No Internet,No Internet,No Internet
One year,No,Mailed check,1604.5,1,0,Yes,No,DSL,No,Yes,Yes,No
One year,Yes,Electronic check,4533.9,1,1,Yes,No,Fiber optic,No,No,Yes,Yes
Month-to-month,Yes,Electronic check,1587.55,1,1,Yes,No,Fiber optic,No,No,Yes,No
Month-to-month,No,Electronic check,842.9,1,0,Yes,No,Fiber optic,No,Yes,Yes,No
Month-to-month,Yes,Electronic check,1761.45,1,0,No,No,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,164.5,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,2724.6,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Mailed check,318.5,1,1,No,No,Fiber optic,No,No,No,No
Two year,Yes,Bank transfer (automatic),4990.25,1,0,Yes,Yes,Fiber optic,No,No,Yes,Yes
Month-to-month,Yes,Electronic check,3744.05,1,1,No,No,Fiber optic,No,No,Yes,No
One year,Yes,Bank transfer (automatic),7220.35,1,0,No,No,Fiber optic,No,Yes,No,Yes
Month-to-month,Yes,Mailed check,2139.2,1,0,No,Yes,DSL,Yes,Yes,No,No
Month-to-month,Yes,Electronic check,521.3,1,0,No,No,Fiber optic,No,Yes,No,No
Month-to-month,No,Electronic check,608.0,1,0,No,No,DSL,No,No,Yes,No
Month-to-month,No,Electronic check,577.6,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,292.85,1,0,Yes,No,Fiber optic,No,No,No,No
Month-to-month,No,Electronic check,198.0,1,1,No,No,DSL,No,No,No,No
Month-to-month,Yes,Electronic check,609.9,1,0,Yes,No,Fiber optic,Yes,No,No,No
Month-to-month,Yes,Electronic check,79.65,1,0,No,No,Fiber optic,No,No,No,No
Month-to-month,Yes,Credit card (automatic),2812.2,1,1,Yes,No,Fiber optic,No,No,No,Yes
Month-to-month,Yes,Mailed check,80.05,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,Yes,Electronic check,2698.35,1,0,Yes,Yes,Fiber optic,No,No,Yes,No
Month-to-month,Yes,Electronic check,1465.75,1,0,Yes,Yes,Fiber optic,No,No,No,No
Month-to-month,No,Bank transfer (automatic),146.3,1,0,Yes,No,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,No,Mailed check,51.25,1,0,No,No,DSL,No,No,No,Yes
Month-to-month,Yes,Electronic check,45.6,1,0,No,No,DSL,No,No,No,No
Month-to-month,Yes,Bank transfer (automatic),267.35,1,0,No,No,DSL,No,No,No,Yes
Month-to-month,Yes,Electronic check,288.05,1,0,Yes,Yes,No Internet,No Internet,No Internet,No Internet,No Internet
Month-to-month,Yes,Bank transfer (automatic),853.0,1,0,Yes,No,DSL,No,No,No,No
Month-to-month,Yes,Mailed check,934.1,1,1,Yes,No,Fiber optic,No,Yes,Yes,Yes
Month-to-month,No,Electronic check,1222.8,1,0,Yes,Yes,Fiber optic,No,No,No,No
